Date: 20190111, number of symbols: 6020, valid ones: 4870
Date: 20190113, number of symbols: 2, valid ones: 1
Date: 20190114, number of symbols: 6018, valid ones: 4889
Date: 20190115, number of symbols: 6041, valid ones: 4917
Date: 20190116, number of symbols: 6045, valid ones: 4961
Date: 20190117, number of symbols: 158, valid ones: 111
Symbol: LACQW	Start Date: 20190111	End Date: 20190111	Number: 2	Valid number: 0
Symbol: HFGIC	Start Date: 20190104	End Date: 20190104	Number: 2	Valid number: 0
Symbol: HCCHR	Start Date: 20190104	End Date: 20190104	Number: 2	Valid number: 0
Symbol: KBLMU	Start Date: 20181024	End Date: 20181024	Number: 2	Valid number: 0
Symbol: HJLIW	Start Date: 20190116	End Date: 20190116	Number: 2	Valid number: 0
Symbol: NUROW	Start Date: 20190114	End Date: 20190114	Number: 2	Valid number: 0
Symbol: NTEST	Start Date: 20180517	End Date: 20180517	Number: 2	Valid number: 0
Symbol: BCACU	Start Date: 20190108	End Date: 20190108	Number: 2	Valid number: 0
Symbol: MMDMU	Start Date: 20190107	End Date: 20190107	Number: 2	Valid number: 0
Symbol: HUNTU	Start Date: 20181130	End Date: 20181130	Number: 2	Valid number: 0
Symbol: CFXA	Start Date: 20190116	End Date: 20190116	Number: 2	Valid number: 0
Symbol: SNGXW	Start Date: 20190107	End Date: 20190107	Number: 2	Valid number: 0
Symbol: GRBIC	Start Date: 20180516	End Date: 20180516	Number: 2	Valid number: 0
Symbol: DLPNW	Start Date: 20190108	End Date: 20190108	Number: 2	Valid number: 0
Symbol: DFBHW	Start Date: 20190109	End Date: 20190109	Number: 2	Valid number: 0
Symbol: ALACR	Start Date: 20190109	End Date: 20190109	Number: 2	Valid number: 0
Symbol: TOTAW	Start Date: 20190108	End Date: 20190108	Number: 2	Valid number: 0
Symbol: SLNOW	Start Date: 20190110	End Date: 20190110	Number: 2	Valid number: 0
Symbol: BRACU	Start Date: 20190111	End Date: 20190111	Number: 2	Valid number: 0
Symbol: JSYNR	Start Date: 20190104	End Date: 20190115	Number: 3	Valid number: 0
Symbol: FOANC	Start Date: 20180501	End Date: 20181214	Number: 3	Valid number: 0
Symbol: HCCHW	Start Date: 20190108	End Date: 20190115	Number: 3	Valid number: 0
Symbol: CNACR	Start Date: 20190110	End Date: 20190116	Number: 3	Valid number: 0
Symbol: CNACU	Start Date: 20190107	End Date: 20190110	Number: 3	Valid number: 0
Symbol: GRSHW	Start Date: 20190104	End Date: 20190110	Number: 3	Valid number: 0
Symbol: TIBRW	Start Date: 20190103	End Date: 20190104	Number: 3	Valid number: 0
Symbol: FTACW	Start Date: 20190111	End Date: 20190114	Number: 3	Valid number: 0
Symbol: APOPW	Start Date: 20190103	End Date: 20190110	Number: 3	Valid number: 0
Symbol: LOACW	Start Date: 20190104	End Date: 20190107	Number: 3	Valid number: 0
Symbol: BVXVW	Start Date: 20190104	End Date: 20190108	Number: 3	Valid number: 0
Symbol: MUDSW	Start Date: 20190104	End Date: 20190115	Number: 3	Valid number: 0
Symbol: VTIQW	Start Date: 20190110	End Date: 20190115	Number: 3	Valid number: 0
Symbol: PXUS	Start Date: 20180508	End Date: 20180613	Number: 3	Valid number: 0
Symbol: TBLTW	Start Date: 20190111	End Date: 20190116	Number: 3	Valid number: 1
Symbol: PEER	Start Date: 20190114	End Date: 20190116	Number: 4	Valid number: 0
Symbol: IMRNW	Start Date: 20190104	End Date: 20190115	Number: 4	Valid number: 0
Symbol: DRIOW	Start Date: 20190104	End Date: 20190108	Number: 4	Valid number: 0
Symbol: KBLMR	Start Date: 20190107	End Date: 20190116	Number: 4	Valid number: 1
Symbol: TCBIW	Start Date: 20190104	End Date: 20190116	Number: 4	Valid number: 0
Symbol: VTIQU	Start Date: 20190103	End Date: 20190116	Number: 4	Valid number: 0
Symbol: OPGNW	Start Date: 20190103	End Date: 20190116	Number: 4	Valid number: 0
Symbol: CHEKW	Start Date: 20190107	End Date: 20190114	Number: 4	Valid number: 0
Symbol: SRTSW	Start Date: 20190107	End Date: 20190115	Number: 4	Valid number: 0
Symbol: ARYA	Start Date: 20181212	End Date: 20190115	Number: 4	Valid number: 0
Symbol: KBLMW	Start Date: 20190103	End Date: 20190110	Number: 4	Valid number: 0
Symbol: NEBUW	Start Date: 20190107	End Date: 20190116	Number: 4	Valid number: 0
Symbol: MDGSW	Start Date: 20190103	End Date: 20190109	Number: 4	Valid number: 0
Symbol: ALGRR	Start Date: 20190107	End Date: 20190116	Number: 4	Valid number: 0
Symbol: CLRBZ	Start Date: 20190104	End Date: 20190116	Number: 4	Valid number: 0
Symbol: EVLMC	Start Date: 20180619	End Date: 20180914	Number: 4	Valid number: 0
Symbol: CREXW	Start Date: 20190109	End Date: 20190115	Number: 4	Valid number: 0
Symbol: DFVL	Start Date: 20180530	End Date: 20181207	Number: 4	Valid number: 0
Symbol: EVFTC	Start Date: 20181011	End Date: 20181102	Number: 4	Valid number: 0
Symbol: CMSSU	Start Date: 20190103	End Date: 20190115	Number: 4	Valid number: 0
Symbol: CMSSR	Start Date: 20190107	End Date: 20190116	Number: 4	Valid number: 0
Symbol: OPESW	Start Date: 20190107	End Date: 20190111	Number: 4	Valid number: 0
Symbol: CMCTP	Start Date: 20180919	End Date: 20181228	Number: 4	Valid number: 0
Symbol: VEACU	Start Date: 20190104	End Date: 20190116	Number: 4	Valid number: 0
Symbol: NHLDW	Start Date: 20190103	End Date: 20190111	Number: 5	Valid number: 0
Symbol: NESRW	Start Date: 20190104	End Date: 20190116	Number: 5	Valid number: 0
Symbol: AMRHW	Start Date: 20190103	End Date: 20190115	Number: 5	Valid number: 0
Symbol: EYEGW	Start Date: 20190103	End Date: 20190115	Number: 5	Valid number: 0
Symbol: HUNTW	Start Date: 20190110	End Date: 20190116	Number: 5	Valid number: 0
Symbol: TBRGW	Start Date: 20190103	End Date: 20190111	Number: 5	Valid number: 1
Symbol: EVSTC	Start Date: 20180507	End Date: 20190107	Number: 5	Valid number: 0
Symbol: BRPAW	Start Date: 20190103	End Date: 20190114	Number: 5	Valid number: 1
Symbol: SCACW	Start Date: 20190107	End Date: 20190116	Number: 5	Valid number: 0
Symbol: WHLRW	Start Date: 20190104	End Date: 20190115	Number: 5	Valid number: 0
Symbol: TKKSW	Start Date: 20190104	End Date: 20190114	Number: 5	Valid number: 0
Symbol: ALGRW	Start Date: 20190104	End Date: 20190116	Number: 5	Valid number: 0
Symbol: GLACR	Start Date: 20190108	End Date: 20190114	Number: 5	Valid number: 0
Symbol: SHIPW	Start Date: 20190107	End Date: 20190116	Number: 5	Valid number: 0
Symbol: TWLVR	Start Date: 20190109	End Date: 20190114	Number: 5	Valid number: 0
Symbol: SAMAW	Start Date: 20190109	End Date: 20190116	Number: 6	Valid number: 0
Symbol: DTUL	Start Date: 20180426	End Date: 20181212	Number: 6	Valid number: 0
Symbol: ZTEST	Start Date: 20190109	End Date: 20190116	Number: 6	Valid number: 0
Symbol: CMSSW	Start Date: 20190109	End Date: 20190116	Number: 6	Valid number: 0
Symbol: BCACW	Start Date: 20190103	End Date: 20190110	Number: 6	Valid number: 0
Symbol: WINRW	Start Date: 20190110	End Date: 20190116	Number: 6	Valid number: 3
Symbol: WINR	Start Date: 20190110	End Date: 20190116	Number: 6	Valid number: 5
Symbol: ENTXW	Start Date: 20190108	End Date: 20190116	Number: 6	Valid number: 0
Symbol: ORGO	Start Date: 20190108	End Date: 20190116	Number: 6	Valid number: 1
Symbol: LMFAW	Start Date: 20190103	End Date: 20190116	Number: 6	Valid number: 0
Symbol: CHEKZ	Start Date: 20190104	End Date: 20190116	Number: 6	Valid number: 0
Symbol: MRIC	Start Date: 20190110	End Date: 20190116	Number: 6	Valid number: 1
Symbol: TZACW	Start Date: 20190103	End Date: 20190116	Number: 6	Valid number: 0
Symbol: EDTXW	Start Date: 20190103	End Date: 20190115	Number: 6	Valid number: 0
Symbol: PBIO	Start Date: 20190110	End Date: 20190116	Number: 6	Valid number: 0
Symbol: EAGLW	Start Date: 20190103	End Date: 20190116	Number: 6	Valid number: 0
Symbol: AGFSW	Start Date: 20190104	End Date: 20190115	Number: 6	Valid number: 0
Symbol: TDACW	Start Date: 20190103	End Date: 20190111	Number: 6	Valid number: 0
Symbol: FPAYW	Start Date: 20190104	End Date: 20190114	Number: 6	Valid number: 0
Symbol: SXTC	Start Date: 20190104	End Date: 20190116	Number: 7	Valid number: 6
